image,mask,center,split,test_group
data_C1/images_C1/175OLCV1_100H0099.jpg,data_C1/masks_C1/175OLCV1_100H0099_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0002.jpg,data_C1/masks_C1/176OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0089.jpg,data_C1/masks_C1/176OLCV1_100H0089_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0126.jpg,data_C1/masks_C1/176OLCV1_100H0126_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0160.jpg,data_C1/masks_C1/176OLCV1_100H0160_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0255.jpg,data_C1/masks_C1/176OLCV1_100H0255_mask.jpg,C1,val,
data_C1/images_C1/176OLCV1_100H0290.jpg,data_C1/masks_C1/176OLCV1_100H0290_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0470.jpg,data_C1/masks_C1/176OLCV1_100H0470_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0537.jpg,data_C1/masks_C1/176OLCV1_100H0537_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0587.jpg,data_C1/masks_C1/176OLCV1_100H0587_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0730.jpg,data_C1/masks_C1/176OLCV1_100H0730_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0738.jpg,data_C1/masks_C1/176OLCV1_100H0738_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0739.jpg,data_C1/masks_C1/176OLCV1_100H0739_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0846.jpg,data_C1/masks_C1/176OLCV1_100H0846_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0885.jpg,data_C1/masks_C1/176OLCV1_100H0885_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0889.jpg,data_C1/masks_C1/176OLCV1_100H0889_mask.jpg,C1,val,
data_C1/images_C1/176OLCV1_100H0890.jpg,data_C1/masks_C1/176OLCV1_100H0890_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0902.jpg,data_C1/masks_C1/176OLCV1_100H0902_mask.jpg,C1,train,
data_C1/images_C1/176OLCV1_100H0912.jpg,data_C1/masks_C1/176OLCV1_100H0912_mask.jpg,C1,train,
data_C1/images_C1/177OLCV1_100H0014.jpg,data_C1/masks_C1/177OLCV1_100H0014_mask.jpg,C1,train,
data_C1/images_C1/177OLCV1_100H0024.jpg,data_C1/masks_C1/177OLCV1_100H0024_mask.jpg,C1,train,
data_C1/images_C1/177OLCV1_100H0038.jpg,data_C1/masks_C1/177OLCV1_100H0038_mask.jpg,C1,train,
data_C1/images_C1/177OLCV1_100H0040.jpg,data_C1/masks_C1/177OLCV1_100H0040_mask.jpg,C1,train,
data_C1/images_C1/177OLCV1_100S0005.jpg,data_C1/masks_C1/177OLCV1_100S0005_mask.jpg,C1,train,
data_C1/images_C1/180OLCV1_100H0006.jpg,data_C1/masks_C1/180OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/186OLCV1_100H0008.jpg,data_C1/masks_C1/186OLCV1_100H0008_mask.jpg,C1,val,
data_C1/images_C1/186OLCV1_100H0045.jpg,data_C1/masks_C1/186OLCV1_100H0045_mask.jpg,C1,train,
data_C1/images_C1/186OLCV1_100H0053.jpg,data_C1/masks_C1/186OLCV1_100H0053_mask.jpg,C1,train,
data_C1/images_C1/186OLCV1_100H0063.jpg,data_C1/masks_C1/186OLCV1_100H0063_mask.jpg,C1,train,
data_C1/images_C1/186OLCV1_100H0066.jpg,data_C1/masks_C1/186OLCV1_100H0066_mask.jpg,C1,train,
data_C1/images_C1/187OLCV1_100H0079.jpg,data_C1/masks_C1/187OLCV1_100H0079_mask.jpg,C1,train,
data_C1/images_C1/188OLCV1_100H0002.jpg,data_C1/masks_C1/188OLCV1_100H0002_mask.jpg,C1,val,
data_C1/images_C1/192OLCV1_100H0002.jpg,data_C1/masks_C1/192OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/192OLCV1_100H0004.jpg,data_C1/masks_C1/192OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/195OLCV1_100H0002.jpg,data_C1/masks_C1/195OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/195OLCV1_100H0012.jpg,data_C1/masks_C1/195OLCV1_100H0012_mask.jpg,C1,train,
data_C1/images_C1/199OLCV1_100H0010.jpg,data_C1/masks_C1/199OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/201OLCV1_100H0018.jpg,data_C1/masks_C1/201OLCV1_100H0018_mask.jpg,C1,train,
data_C1/images_C1/204OLCV1_100H0006.jpg,data_C1/masks_C1/204OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/205OLCV1_100H0004.jpg,data_C1/masks_C1/205OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/206OLCV1_100H0002.jpg,data_C1/masks_C1/206OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/208OLCV1_100H0002.jpg,data_C1/masks_C1/208OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/214OLCV1_100H0006.jpg,data_C1/masks_C1/214OLCV1_100H0006_mask.jpg,C1,val,
data_C1/images_C1/220OLCV1_100H0008.jpg,data_C1/masks_C1/220OLCV1_100H0008_mask.jpg,C1,train,
data_C1/images_C1/226OLCV1_100H0002.jpg,data_C1/masks_C1/226OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/231OLCV1_100H0010.jpg,data_C1/masks_C1/231OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/232OLCV1_100H0002.jpg,data_C1/masks_C1/232OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/232OLCV1_100S0001.jpg,data_C1/masks_C1/232OLCV1_100S0001_mask.jpg,C1,train,
data_C1/images_C1/234OLCV1_100H0020.jpg,data_C1/masks_C1/234OLCV1_100H0020_mask.jpg,C1,train,
data_C1/images_C1/234OLCV1_100H0024.jpg,data_C1/masks_C1/234OLCV1_100H0024_mask.jpg,C1,train,
data_C1/images_C1/241OLCV1_100H0002.jpg,data_C1/masks_C1/241OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/242OLCV1_100H0012.jpg,data_C1/masks_C1/242OLCV1_100H0012_mask.jpg,C1,train,
data_C1/images_C1/253OLCV1_100H0004.jpg,data_C1/masks_C1/253OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/263OLCV1_100H0002.jpg,data_C1/masks_C1/263OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/263OLCV1_100H0010.jpg,data_C1/masks_C1/263OLCV1_100H0010_mask.jpg,C1,val,
data_C1/images_C1/273OLCV1_100H0002.jpg,data_C1/masks_C1/273OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/276OLCV1_100H0004.jpg,data_C1/masks_C1/276OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/276OLCV1_100H0006.jpg,data_C1/masks_C1/276OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/278OLCV1_100H0010.jpg,data_C1/masks_C1/278OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/278OLCV1_100H0012.jpg,data_C1/masks_C1/278OLCV1_100H0012_mask.jpg,C1,train,
data_C1/images_C1/284OLCV1_100H0004.jpg,data_C1/masks_C1/284OLCV1_100H0004_mask.jpg,C1,val,
data_C1/images_C1/290OLCV1_100H0020.jpg,data_C1/masks_C1/290OLCV1_100H0020_mask.jpg,C1,train,
data_C1/images_C1/290OLCV1_100H0040.jpg,data_C1/masks_C1/290OLCV1_100H0040_mask.jpg,C1,train,
data_C1/images_C1/291OLCV1_100H0012.jpg,data_C1/masks_C1/291OLCV1_100H0012_mask.jpg,C1,val,
data_C1/images_C1/295OLCV1_100H0004.jpg,data_C1/masks_C1/295OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/295OLCV1_100H0006.jpg,data_C1/masks_C1/295OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/295OLCV1_100H0008.jpg,data_C1/masks_C1/295OLCV1_100H0008_mask.jpg,C1,train,
data_C1/images_C1/296OLCV1_100H0004.jpg,data_C1/masks_C1/296OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/296OLCV1_100H0008.jpg,data_C1/masks_C1/296OLCV1_100H0008_mask.jpg,C1,train,
data_C1/images_C1/313OLCV1_100H0026.jpg,data_C1/masks_C1/313OLCV1_100H0026_mask.jpg,C1,train,
data_C1/images_C1/313OLCV1_100H0032.jpg,data_C1/masks_C1/313OLCV1_100H0032_mask.jpg,C1,train,
data_C1/images_C1/314OLCV1_100H0008.jpg,data_C1/masks_C1/314OLCV1_100H0008_mask.jpg,C1,train,
data_C1/images_C1/326OLCV1_100H0002.jpg,data_C1/masks_C1/326OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/326OLCV1_100H0006.jpg,data_C1/masks_C1/326OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/331OLCV1_100H0004.jpg,data_C1/masks_C1/331OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/333OLCV1_100H0006.jpg,data_C1/masks_C1/333OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/333OLCV1_100H0010.jpg,data_C1/masks_C1/333OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/333OLCV1_100H0014.jpg,data_C1/masks_C1/333OLCV1_100H0014_mask.jpg,C1,train,
data_C1/images_C1/333OLCV1_100H0016.jpg,data_C1/masks_C1/333OLCV1_100H0016_mask.jpg,C1,train,
data_C1/images_C1/342OLCV1_100H0004.jpg,data_C1/masks_C1/342OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/350OLCV1_100H0002.jpg,data_C1/masks_C1/350OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/350OLCV1_100H0004.jpg,data_C1/masks_C1/350OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/354OLCV1_100H0002.jpg,data_C1/masks_C1/354OLCV1_100H0002_mask.jpg,C1,val,
data_C1/images_C1/356OLCV1_100S0007.jpg,data_C1/masks_C1/356OLCV1_100S0007_mask.jpg,C1,train,
data_C1/images_C1/358OLCV1_100H0004.jpg,data_C1/masks_C1/358OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/363OLCV1_100H0002.jpg,data_C1/masks_C1/363OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/366OLCV1_100H0016.jpg,data_C1/masks_C1/366OLCV1_100H0016_mask.jpg,C1,train,
data_C1/images_C1/370OLCV1_100H0010.jpg,data_C1/masks_C1/370OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/371OLCV1_100H0006.jpg,data_C1/masks_C1/371OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/371OLCV1_100H0008.jpg,data_C1/masks_C1/371OLCV1_100H0008_mask.jpg,C1,train,
data_C1/images_C1/372OLCV1_100H0016.jpg,data_C1/masks_C1/372OLCV1_100H0016_mask.jpg,C1,train,
data_C1/images_C1/374OLCV1_100H0016.jpg,data_C1/masks_C1/374OLCV1_100H0016_mask.jpg,C1,train,
data_C1/images_C1/375OLCV1_100H0008.jpg,data_C1/masks_C1/375OLCV1_100H0008_mask.jpg,C1,train,
data_C1/images_C1/375OLCV1_100H0010.jpg,data_C1/masks_C1/375OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/376OLCV1_100H0010.jpg,data_C1/masks_C1/376OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/377OLCV1_100H0004.jpg,data_C1/masks_C1/377OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/378OLCV1_100H0016.jpg,data_C1/masks_C1/378OLCV1_100H0016_mask.jpg,C1,train,
data_C1/images_C1/388OLCV1_100H0004.jpg,data_C1/masks_C1/388OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/394OLCV1_100H0012.jpg,data_C1/masks_C1/394OLCV1_100H0012_mask.jpg,C1,val,
data_C1/images_C1/396OLCV1_100H0004.jpg,data_C1/masks_C1/396OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/398OLCV1_100H0004.jpg,data_C1/masks_C1/398OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/405OLCV1_100H0002.jpg,data_C1/masks_C1/405OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/409OLCV1_100H0010.jpg,data_C1/masks_C1/409OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/413OLCV1_100S0019.jpg,data_C1/masks_C1/413OLCV1_100S0019_mask.jpg,C1,train,
data_C1/images_C1/417OLCV1_100H0002.jpg,data_C1/masks_C1/417OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/417OLCV1_100H0004.jpg,data_C1/masks_C1/417OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/417OLCV1_100H0006.jpg,data_C1/masks_C1/417OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/417OLCV1_100H0008.jpg,data_C1/masks_C1/417OLCV1_100H0008_mask.jpg,C1,train,
data_C1/images_C1/419OLCV1_100H0006.jpg,data_C1/masks_C1/419OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/419OLCV1_100H0014.jpg,data_C1/masks_C1/419OLCV1_100H0014_mask.jpg,C1,train,
data_C1/images_C1/419OLCV1_100H0016.jpg,data_C1/masks_C1/419OLCV1_100H0016_mask.jpg,C1,val,
data_C1/images_C1/419OLCV1_100H0020.jpg,data_C1/masks_C1/419OLCV1_100H0020_mask.jpg,C1,train,
data_C1/images_C1/419OLCV1_100H0026.jpg,data_C1/masks_C1/419OLCV1_100H0026_mask.jpg,C1,train,
data_C1/images_C1/420OLCV1_100H0002.jpg,data_C1/masks_C1/420OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/422OLCV1_100H0002.jpg,data_C1/masks_C1/422OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/422OLCV1_100H0038.jpg,data_C1/masks_C1/422OLCV1_100H0038_mask.jpg,C1,train,
data_C1/images_C1/425OLCV1_100H0016.jpg,data_C1/masks_C1/425OLCV1_100H0016_mask.jpg,C1,train,
data_C1/images_C1/425OLCV1_100H0018.jpg,data_C1/masks_C1/425OLCV1_100H0018_mask.jpg,C1,train,
data_C1/images_C1/427OLCV1_100H0022.jpg,data_C1/masks_C1/427OLCV1_100H0022_mask.jpg,C1,train,
data_C1/images_C1/429OLCV1_100H0002.jpg,data_C1/masks_C1/429OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/430OLCV1_100H0002.jpg,data_C1/masks_C1/430OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/430OLCV1_100S0001.jpg,data_C1/masks_C1/430OLCV1_100S0001_mask.jpg,C1,train,
data_C1/images_C1/431OLCV1_100S0007.jpg,data_C1/masks_C1/431OLCV1_100S0007_mask.jpg,C1,train,
data_C1/images_C1/434OLCV1_100S0007.jpg,data_C1/masks_C1/434OLCV1_100S0007_mask.jpg,C1,train,
data_C1/images_C1/439OLCV1_100H0008.jpg,data_C1/masks_C1/439OLCV1_100H0008_mask.jpg,C1,train,
data_C1/images_C1/439OLCV1_100H0010.jpg,data_C1/masks_C1/439OLCV1_100H0010_mask.jpg,C1,val,
data_C1/images_C1/439OLCV1_100H0020.jpg,data_C1/masks_C1/439OLCV1_100H0020_mask.jpg,C1,train,
data_C1/images_C1/442OLCV1_100H0002.jpg,data_C1/masks_C1/442OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/444OLCV1_100H0004.jpg,data_C1/masks_C1/444OLCV1_100H0004_mask.jpg,C1,val,
data_C1/images_C1/445OLCV1_100H0010.jpg,data_C1/masks_C1/445OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/459OLCV1_100H0006.jpg,data_C1/masks_C1/459OLCV1_100H0006_mask.jpg,C1,val,
data_C1/images_C1/459OLCV1_100H0012.jpg,data_C1/masks_C1/459OLCV1_100H0012_mask.jpg,C1,train,
data_C1/images_C1/459OLCV1_100H0014.jpg,data_C1/masks_C1/459OLCV1_100H0014_mask.jpg,C1,train,
data_C1/images_C1/459OLCV1_100H0016.jpg,data_C1/masks_C1/459OLCV1_100H0016_mask.jpg,C1,train,
data_C1/images_C1/469OLCV1_100H0006.jpg,data_C1/masks_C1/469OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/470OLCV1_100H0004.jpg,data_C1/masks_C1/470OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/470OLCV1_100H0012.jpg,data_C1/masks_C1/470OLCV1_100H0012_mask.jpg,C1,train,
data_C1/images_C1/471OLCV1_100H0008.jpg,data_C1/masks_C1/471OLCV1_100H0008_mask.jpg,C1,train,
data_C1/images_C1/475OLCV1_100H0008.jpg,data_C1/masks_C1/475OLCV1_100H0008_mask.jpg,C1,train,
data_C1/images_C1/476OLCV1_100S0007.jpg,data_C1/masks_C1/476OLCV1_100S0007_mask.jpg,C1,train,
data_C1/images_C1/481OLCV1_100H0002.jpg,data_C1/masks_C1/481OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/481OLCV1_100H0004.jpg,data_C1/masks_C1/481OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/491OLCV1_100H0004.jpg,data_C1/masks_C1/491OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/492OLCV1_100H0012.jpg,data_C1/masks_C1/492OLCV1_100H0012_mask.jpg,C1,train,
data_C1/images_C1/492OLCV1_100H0016.jpg,data_C1/masks_C1/492OLCV1_100H0016_mask.jpg,C1,train,
data_C1/images_C1/493OLCV1_100H0026.jpg,data_C1/masks_C1/493OLCV1_100H0026_mask.jpg,C1,train,
data_C1/images_C1/497OLCV1_100H0004.jpg,data_C1/masks_C1/497OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/500OLCV1_100H0008.jpg,data_C1/masks_C1/500OLCV1_100H0008_mask.jpg,C1,train,
data_C1/images_C1/503OLCV1_100H0012.jpg,data_C1/masks_C1/503OLCV1_100H0012_mask.jpg,C1,train,
data_C1/images_C1/503OLCV1_100H0014.jpg,data_C1/masks_C1/503OLCV1_100H0014_mask.jpg,C1,train,
data_C1/images_C1/510OLCV1_100H0006.jpg,data_C1/masks_C1/510OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/510OLCV1_100H0008.jpg,data_C1/masks_C1/510OLCV1_100H0008_mask.jpg,C1,val,
data_C1/images_C1/510OLCV1_100H0010.jpg,data_C1/masks_C1/510OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/510OLCV1_100H0012.jpg,data_C1/masks_C1/510OLCV1_100H0012_mask.jpg,C1,train,
data_C1/images_C1/510OLCV1_100S0009.jpg,data_C1/masks_C1/510OLCV1_100S0009_mask.jpg,C1,train,
data_C1/images_C1/518OLCV1_100H0004.jpg,data_C1/masks_C1/518OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/524OLCV1_100H0002.jpg,data_C1/masks_C1/524OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/530OLCV1_100H0008.jpg,data_C1/masks_C1/530OLCV1_100H0008_mask.jpg,C1,train,
data_C1/images_C1/535OLCV1_100H0010.jpg,data_C1/masks_C1/535OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/544OLCV1_100H0002.jpg,data_C1/masks_C1/544OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/547OLCV1_100H0004.jpg,data_C1/masks_C1/547OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/553OLCV1_100H0004.jpg,data_C1/masks_C1/553OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/554OLCV1_100H0002.jpg,data_C1/masks_C1/554OLCV1_100H0002_mask.jpg,C1,val,
data_C1/images_C1/554OLCV1_100H0004.jpg,data_C1/masks_C1/554OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/556OLCV1_100H0002.jpg,data_C1/masks_C1/556OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/556OLCV1_100H0004.jpg,data_C1/masks_C1/556OLCV1_100H0004_mask.jpg,C1,train,
data_C1/images_C1/556OLCV1_100H0012.jpg,data_C1/masks_C1/556OLCV1_100H0012_mask.jpg,C1,train,
data_C1/images_C1/556OLCV1_100H0014.jpg,data_C1/masks_C1/556OLCV1_100H0014_mask.jpg,C1,train,
data_C1/images_C1/564OLCV1_100H0002.jpg,data_C1/masks_C1/564OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/580OLCV1_100H0002.jpg,data_C1/masks_C1/580OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/580OLCV1_100H0006.jpg,data_C1/masks_C1/580OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/590OLCV1_100H0006.jpg,data_C1/masks_C1/590OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/590OLCV1_100H0008.jpg,data_C1/masks_C1/590OLCV1_100H0008_mask.jpg,C1,train,
data_C1/images_C1/596OLCV1_100H0002.jpg,data_C1/masks_C1/596OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/597OLCV1_100H0032.jpg,data_C1/masks_C1/597OLCV1_100H0032_mask.jpg,C1,train,
data_C1/images_C1/597OLCV1_100H0042.jpg,data_C1/masks_C1/597OLCV1_100H0042_mask.jpg,C1,train,
data_C1/images_C1/597OLCV1_100H0044.jpg,data_C1/masks_C1/597OLCV1_100H0044_mask.jpg,C1,train,
data_C1/images_C1/608OLCV1_100H0006.jpg,data_C1/masks_C1/608OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/608OLCV1_100H0008.jpg,data_C1/masks_C1/608OLCV1_100H0008_mask.jpg,C1,train,
data_C1/images_C1/608OLCV1_100H0012.jpg,data_C1/masks_C1/608OLCV1_100H0012_mask.jpg,C1,val,
data_C1/images_C1/615OLCV1_100H0024.jpg,data_C1/masks_C1/615OLCV1_100H0024_mask.jpg,C1,val,
data_C1/images_C1/642OLCV1_100H0012.jpg,data_C1/masks_C1/642OLCV1_100H0012_mask.jpg,C1,train,
data_C1/images_C1/649OLCV1_100H0006.jpg,data_C1/masks_C1/649OLCV1_100H0006_mask.jpg,C1,train,
data_C1/images_C1/651OLCV1_100H0010.jpg,data_C1/masks_C1/651OLCV1_100H0010_mask.jpg,C1,train,
data_C1/images_C1/656OLCV1_100H0012.jpg,data_C1/masks_C1/656OLCV1_100H0012_mask.jpg,C1,train,
data_C1/images_C1/660OLCV1_100H0002.jpg,data_C1/masks_C1/660OLCV1_100H0002_mask.jpg,C1,train,
data_C1/images_C1/667OLCV1_100H0022.jpg,data_C1/masks_C1/667OLCV1_100H0022_mask.jpg,C1,train,
data_C1/images_C1/667OLCV1_100H0024.jpg,data_C1/masks_C1/667OLCV1_100H0024_mask.jpg,C1,val,
data_C1/images_C1/673OLCV1_100H0010.jpg,data_C1/masks_C1/673OLCV1_100H0010_mask.jpg,C1,val,
data_C1/images_C1/673OLCV1_100H0028.jpg,data_C1/masks_C1/673OLCV1_100H0028_mask.jpg,C1,train,
data_C1/images_C1/680OLCV1_100H0002.jpg,data_C1/masks_C1/680OLCV1_100H0002_mask.jpg,C1,val,
data_C1/images_C1/688OLCV1_100H0008.jpg,data_C1/masks_C1/688OLCV1_100H0008_mask.jpg,C1,train,
